GrLivArea,SalePrice,label
1710,208500,4
1262,181500,4
1786,223500,4
1717,140000,4
2198,250000,4
1362,143000,4
1694,307000,4
2090,200000,4
1774,129900,4
1077,118000,4
1040,129500,4
2324,345000,4
912,144000,4
1494,279500,4
1253,157000,4
854,132000,4
1004,149000,4
1296,90000,4
1114,159000,4
1339,139000,4
2376,325300,4
1108,139400,4
1795,230000,4
1060,129900,4
1060,154000,4
1600,256300,4
900,134800,4
1704,306000,4
1600,207500,4
520,68500,4
1317,40000,4
1228,149350,4
1234,179900,4
1700,165500,4
1561,277500,4
2452,309000,4
1097,145000,4
1297,153000,4
1057,109000,4
1152,82000,4
1324,160000,4
1328,170000,4
884,144000,4
938,130250,4
1150,141000,4
1752,319900,4
2149,239686,4
1656,249700,4
1452,113000,4
955,127000,4
1470,177000,4
1176,114500,4
816,110000,4
1842,385000,4
1360,130000,4
1425,180500,4
1739,172500,4
1720,196500,4
2945,438780,4
780,124900,4
1158,158000,4
1111,101000,4
1370,202500,4
1710,140000,4
2034,219500,4
2473,317000,4
2207,180000,4
1479,226000,4
747,80000,4
2287,225000,4
2223,244000,4
845,129500,4
1718,185000,4
1086,144900,4
1605,107400,4
988,91000,4
952,135750,4
1285,127000,4
1768,136500,4
1230,110000,4
2142,193500,4
1337,153500,4
1563,245000,4
1065,126500,4
1474,168500,4
2417,260000,4
1560,174000,4
1224,164500,4
1526,85000,4
990,123600,4
1040,109900,4
1235,98600,4
964,163500,4
2291,133900,4
1786,204750,4
1470,185000,4
1588,214000,4
960,94750,4
835,83000,4
1225,128950,4
1610,205000,4
1732,178000,4
1535,118964,4
1226,198900,4
1818,169500,4
1992,250000,4
1047,100000,4
789,115000,4
1517,115000,4
1844,190000,4
1855,136900,4
1430,180000,4
2696,383970,4
2259,217000,4
2320,259500,4
1458,176000,4
1092,139000,4
1125,155000,4
3222,320000,4
1456,163990,4
988,180000,4
1123,100000,4
1080,136000,4
1199,153900,4
1586,181000,4
754,84500,4
958,128000,4
840,87000,4
1348,155000,4
1053,150000,4
2157,226000,4
2054,244000,4
1327,150750,4
1296,220000,4
1721,180000,4
1682,174000,4
1214,143000,4
1959,171000,4
1852,230000,4
1764,231500,4
864,115000,4
1734,260000,4
1385,166000,4
1501,204000,4
1728,125000,4
1709,130000,4
875,105000,4
2035,222500,4
1080,141000,4
1344,115000,4
969,122000,4
1710,372402,4
1993,190000,4
1252,235000,4
1200,125000,4
1096,79000,4
1040,109500,4
1968,269500,4
1947,254900,4
2462,320000,4
1232,162500,4
2668,412500,4
1541,220000,4
882,103200,4
1616,152000,4
1355,127500,4
1867,190000,4
2161,325624,4
1720,183500,4
1707,228000,4
1382,128500,4
1656,215000,4
1767,239000,4
1362,163000,4
1651,184000,4
2158,243000,4
2060,211000,4
1920,172500,4
2234,501837,4
968,100000,4
1525,177000,4
1802,200100,4
1340,120000,4
2082,200000,4
1252,127000,4
3608,475000,4
1217,173000,4
1656,135000,4
1224,153337,4
1593,286000,4
2727,315000,4
1479,184000,4
1431,192000,4
1709,130000,4
864,127000,4
1456,148500,4
1726,311872,4
3112,235000,4
2229,104000,4
1713,274900,4
1121,140000,4
1279,171500,4
1310,112000,4
848,149000,4
1284,110000,4
1442,180500,4
1696,143900,4
1100,141000,4
2062,277000,4
1092,145000,4
864,98000,4
1212,186000,4
1852,252678,4
990,156000,4
1392,161750,4
1236,134450,4
1436,210000,4
1328,107000,4
1954,311500,4
1248,167240,4
1498,204900,4
2267,200000,4
1552,179900,4
864,97000,4
2392,386250,4
1302,112000,4
2520,290000,4
987,106000,4
912,125000,4
1555,192500,4
1194,148000,4
2794,403000,4
987,94500,4
894,128200,4
1960,216500,4
987,89500,4
1414,185500,4
1744,194500,4
1694,318000,4
1487,113000,4
1566,262500,4
866,110500,4
1440,79000,4
1217,120000,4
2110,205000,4
1872,241500,4
1928,137000,4
1375,140000,4
1668,180000,4
2144,277000,4
1306,76500,4
1625,235000,4
1640,173000,4
1302,158000,4
1314,145000,4
2291,230000,4
1728,207500,4
1604,220000,4
1792,231500,4
882,97000,4
1382,176000,4
2574,276000,4
1212,151000,4
1316,130000,4
764,73000,4
1422,175500,4
1511,185000,4
2192,179500,4
778,120500,4
1113,148000,4
1939,266000,4
1363,241500,4
2270,290000,4
1632,139000,4
816,124500,4
1548,205000,4
1560,201000,4
864,141000,4
2121,415298,4
2022,192000,4
1982,228500,4
1262,185000,4
1314,207500,4
1468,244600,4
1575,179200,4
1250,164700,4
1734,159000,4
858,88000,4
900,122000,4
1396,153575,4
1919,233230,4
1716,135900,4
1716,131000,4
2263,235000,4
1644,167000,4
1003,142500,4
1558,152000,4
1950,239000,1
1743,175000,1
1152,158500,1
1336,157000,1
2452,267000,1
1541,205000,1
894,149900,1
3493,295000,1
2000,305900,1
2243,225000,1
1406,89500,1
861,82500,1
1944,360000,1
1501,165600,1
972,132000,1
1118,119900,1
2036,375000,1
1641,178000,1
1432,188500,1
2353,260000,1
1959,270000,1
2646,260000,1
1472,187500,1
2596,342643,1
2468,354000,1
2730,301000,1
1163,126175,1
2978,242000,1
803,87000,1
1719,324000,1
1383,145250,1
2134,214500,1
1192,78000,1
1728,119000,1
1056,139000,1
1629,284000,1
1358,207000,1
1638,192000,1
1786,228950,1
1922,377426,1
1536,214000,1
1621,202500,1
1215,155000,1
1908,202900,1
841,82000,1
1040,87500,1
1684,266000,1
1112,85000,1
1577,140200,1
958,151500,1
1478,157500,1
1626,154000,1
2728,437154,1
1869,318061,1
1453,190000,1
1111,95000,1
720,105900,1
1595,140000,1
1200,177500,1
1167,173000,1
1142,134000,1
1352,130000,1
1924,280000,1
912,156000,1
1505,145000,1
1922,198500,1
987,118000,1
1574,190000,1
1344,147000,1
1394,159000,1
1431,165000,1
1268,132000,1
1287,162000,1
1664,172400,1
1588,134432,1
752,125000,1
1319,123000,1
1928,219500,1
904,61000,1
914,148000,1
2466,340000,1
1856,394432,1
1800,179000,1
1691,127000,1
1301,187750,1
1797,213500,1
784,76000,1
1953,240000,1
1269,192000,1
1184,81000,1
1125,125000,1
1479,191000,1
2332,426000,1
1367,119000,1
1961,215000,1
882,106500,1
788,100000,1
1034,109000,1
1144,129000,1
894,123000,1
1812,169500,1
1077,67000,1
1550,241000,1
1288,245500,1
1310,164990,1
672,108000,1
2263,258000,1
1572,168000,1
1620,150000,1
1639,115000,1
1680,177000,1
2172,280000,1
2078,339750,1
1276,60000,1
1056,145000,1
1478,222000,1
1028,115000,1
2097,228000,1
1340,181134,1
1400,149500,1
2624,239000,1
1134,126000,1
1056,142000,1
1344,206300,1
1602,215000,1
988,113000,1
2630,315000,1
1196,139000,1
1389,135000,1
1644,275000,1
907,109008,1
1208,195400,1
1412,175000,1
987,85400,1
1198,79900,1
1365,122500,1
1604,181000,1
630,81000,1
1661,212000,1
1118,116000,1
904,119000,1
694,90350,1
1196,110000,1
2402,555000,1
1440,118000,1
1573,162900,1
1258,172500,1
1908,210000,1
1689,127500,1
1888,190000,1
1886,199900,1
1376,119500,1
1183,120000,1
813,110000,1
1533,280000,1
1756,204000,1
1590,210000,1
1728,188000,1
1242,175500,1
1344,98000,1
1663,256000,1
1666,161000,1
1203,110000,1
1935,263435,1
1135,155000,1
864,62383,1
1660,188700,1
1040,124000,1
1414,178740,1
1277,167000,1
1644,146500,1
1634,250000,1
1710,187000,1
1502,212000,1
1969,190000,1
1072,148000,1
1976,440000,1
1652,251000,1
970,132500,1
1493,208900,1
2643,380000,1
1718,297000,1
1131,89471,1
1850,326000,1
1792,374000,1
1826,155000,1
1216,164000,1
999,132500,1
1113,147000,1
1073,156000,1
1484,175000,1
2414,160000,1
630,86000,1
1304,115000,1
1578,133000,1
1456,172785,1
1269,155000,1
886,91300,1
720,34900,1
3228,430000,1
1820,184000,1
899,130000,1
912,120000,1
1218,113000,1
1768,226700,1
1214,140000,1
1801,289000,1
1322,147000,1
1960,124500,1
1911,215000,1
1218,208300,1
1378,161000,1
1041,124500,1
1363,164900,1
1368,202665,1
864,129900,1
1080,134000,1
789,96500,1
2020,402861,1
2119,158000,1
2344,265000,1
1796,211000,1
2080,234000,1
1294,106250,1
1244,150000,1
1664,159000,1
4676,184750,1
2398,315750,1
1266,176000,1
928,132000,1
2713,446261,1
605,86000,1
2515,200624,1
1509,175000,1
1362,128000,1
827,107500,1
334,39300,1
1414,178000,1
1347,107500,1
1724,188000,1
864,111250,1
1159,158000,1
1601,272000,1
1838,315000,1
2285,248000,1
1680,213250,1
767,133000,1
1496,179665,1
2183,229000,1
1635,210000,1
768,129500,1
825,125000,1
2094,263000,1
1069,140000,1
928,112500,1
1717,255500,1
1126,108000,1
2046,284000,1
1048,113000,1
1092,141000,1
1336,108000,1
1446,175000,1
1557,234000,1
1392,121500,1
1389,170000,1
996,108000,1
1674,185000,1
2295,268000,1
1647,128000,1
2504,325000,1
1535,214000,1
2132,316600,1
943,135960,1
1728,142600,1
864,120000,1
1692,224500,1
1430,170000,1
1109,139000,1
1216,118500,1
1477,145000,1
1320,164500,1
1392,146000,1
1795,131500,1
1429,181900,1
2042,253293,1
816,118500,1
2775,325000,1
1573,133000,1
2028,369900,1
838,130000,1
860,137000,1
1473,143000,1
935,79500,1
1582,185900,1
2296,451950,1
816,138000,1
848,140000,1
924,110000,1
1826,319000,1
1368,114504,1
1402,194201,1
1647,217500,1
1556,151000,1
1904,275000,1
1375,141000,1
1915,220000,1
1200,151000,1
1494,221000,1
1986,205000,1
1040,152000,1
2008,225000,1
3194,359100,1
1029,118500,1
2153,313000,1
1032,148000,1
1872,261500,1
1120,147000,1
630,75500,1
1054,137500,1
1509,183200,1
832,105500,1
1828,314813,1
2262,305000,1
864,67000,1
2614,240000,1
980,135000,1
1512,168500,1
1790,165150,1
1116,160000,1
1422,139900,1
1520,153000,1
2080,135000,1
1350,168500,1
1750,124000,1
1554,209500,1
1411,82500,1
1056,139400,1
1056,144000,1
3395,200000,1
800,60000,1
1387,93000,1
796,85000,1
1567,264561,1
1518,274000,1
1929,226000,1
2704,345000,1
1620,152000,1
1766,370878,1
981,143250,1
1048,98300,1
1094,155000,1
1839,155000,1
630,84500,1
1665,205950,1
1510,108000,1
1716,191000,1
1469,135000,1
2113,350000,1
1092,88000,1
1053,145500,1
1502,149000,1
1458,97500,1
1486,167000,1
1935,197900,1
2448,402000,1
1392,110000,1
1181,137500,1
2097,423000,1
1936,230500,1
2380,129000,1
1679,193500,1
1437,168000,1
1180,137500,1
1476,173500,1
1369,103600,1
1208,165000,1
1839,257500,1
1136,140000,1
1441,148500,1
1774,87000,1
792,109500,1
2046,372500,1
988,128500,1
923,143000,1
1520,159434,1
1291,173000,1
1668,285000,1
1839,221000,1
2090,207500,1
1761,227875,1
1102,148800,1
1419,392000,1
1362,194700,1
848,141000,1
4316,755000,1
2519,335000,1
1073,108480,1
1539,141500,1
1137,176000,1
616,89000,1
1148,123500,1
894,138500,1
1391,196000,1
1800,312500,1
1164,140000,1
2576,361919,1
1812,140000,1
1484,213000,1
1092,55000,1
1824,302000,1
1324,254000,1
1456,179540,1
904,109900,1
729,52000,1
1178,102776,1
1228,189000,1
960,129000,1
1479,130500,1
1350,165000,1
2554,159500,1
1178,157000,1
2418,341000,1
971,128500,1
1742,275000,1
848,143000,1
864,124500,1
1470,135000,1
1698,320000,1
864,120500,1
1680,222000,1
1232,194500,1
1776,110000,1
1208,103000,1
1616,236500,1
1146,187500,1
2031,222500,1
1144,131400,1
948,108000,1
1768,163000,1
1040,93500,1
1801,239900,1
1200,179000,1
1728,190000,1
1432,132000,1
912,142000,1
1349,179000,1
1464,175000,1
1337,180000,1
2715,299800,1
2256,236000,1
2640,265979,1
1720,260400,1
1529,98000,1
1140,96500,1
1320,162000,1
1494,217000,1
2098,275500,1
1026,156000,1
1471,172500,1
1768,212000,1
1386,158900,1
1501,179400,1
2531,290000,1
864,127500,1
1301,100000,1
1547,215200,1
2365,337000,1
1494,270000,1
1506,264132,1
1714,196500,1
1750,160000,1
1836,216837,1
3279,538000,1
858,134900,1
1220,102000,1
1117,107000,1
912,114500,1
1973,395000,1
1204,162000,1
1614,221500,1
894,142500,1
2020,144000,1
1004,135000,1
1253,176000,1
1603,175900,1
1430,187100,1
1110,165500,1
1484,128000,1
1342,161500,1
1652,139000,1
2084,233000,1
901,107900,1
2087,187500,1
1145,160200,1
1062,146800,1
2013,269790,1
1496,225000,1
1895,194500,1
1564,171000,1
1285,143500,1
773,110000,1
3140,485000,1
1768,175000,1
1688,200000,1
1196,109900,1
1456,189000,1
2822,582933,1
1128,118000,1
1428,227680,1
980,135500,1
1576,223500,1
1086,159950,1
2138,106000,1
1309,181000,1
848,144500,1
1044,55993,1
1442,157900,1
1250,116000,1
1661,224900,1
1008,137000,1
1689,271000,1
1052,155000,1
1358,224000,1
1640,183000,1
936,93000,1
1733,225000,1
1489,139500,1
1489,232600,1
2084,385000,1
784,109500,1
1434,189000,1
2126,185000,1
1223,147400,1
1392,166000,1
1200,151000,1
1829,237000,1
1516,167000,1
1144,139950,1
1067,128000,1
1559,153500,1
987,100000,1
1099,144000,1
1200,130500,3
1482,140000,3
1539,157500,3
1165,174900,3
1800,141000,3
1416,153900,3
1701,171000,3
1775,213000,3
864,133500,3
2358,240000,3
1855,187000,3
848,131500,3
1456,215000,3
1646,164000,3
1445,158000,3
1779,170000,3
1040,127000,3
1026,147000,3
1481,174000,3
1370,152000,3
2654,250000,3
1426,189950,3
1039,131500,3
1097,152000,3
1148,132500,3
1372,250580,3
1002,148500,3
1646,248900,3
1120,129000,3
2320,169000,3
1949,236000,3
894,109500,3
1682,200500,3
910,116000,3
1268,133000,3
1131,66500,3
2610,303477,3
1040,132250,3
2224,350000,3
1155,148000,3
864,136500,3
1090,157000,3
1717,187500,3
1593,178000,3
2230,118500,3
892,100000,3
1709,328900,3
1712,145000,3
1393,135500,3
2217,268000,3
1505,149500,3
924,122900,3
1683,172500,3
1068,154500,3
1383,165000,3
1535,118858,3
1796,140000,3
951,106500,3
2240,142953,3
2364,611657,3
1236,135000,3
858,110000,3
1306,153000,3
1509,180000,3
1670,240000,3
902,125500,3
1063,128000,3
1636,255000,3
2057,250000,3
902,131000,3
1484,174000,3
2274,154300,3
1268,143500,3
1015,88000,3
2002,145000,3
1224,173733,3
1092,75000,3
480,35311,3
1229,135000,3
2127,238000,3
1414,176500,3
1721,201000,3
2200,145900,3
1316,169990,3
1617,193000,3
1686,207500,3
1126,175000,3
2374,285000,3
1978,176000,3
1788,236500,3
2236,222000,3
1466,201000,3
925,117500,3
1905,320000,3
1500,190000,3
2069,242000,3
747,79900,3
1200,184900,3
1971,253000,3
1962,239799,3
2403,244400,3
1728,150900,3
2060,214000,3
1440,150000,3
1632,143000,3
1344,137500,3
1869,124900,3
1144,143000,3
1629,270000,3
1776,192500,3
1381,197500,3
864,129000,3
965,119900,3
768,133900,3
1968,172000,3
980,127500,3
1958,145000,3
1229,124000,3
1057,132000,3
1337,185000,3
1416,155000,3
858,116500,3
2872,272000,3
1548,155000,3
1800,239000,3
1894,214900,3
1484,178900,3
1308,160000,3
1098,135000,3
968,37900,3
1095,140000,3
1192,135000,3
1626,173000,3
918,99500,3
1428,182000,3
2019,167500,3
1382,165000,3
869,85500,3
1241,199900,3
894,110000,3
1121,139000,3
999,178400,3
2612,336000,3
1266,159895,3
2290,255900,3
1734,126000,3
1164,125000,3
1635,117000,3
1940,395192,3
2030,195000,3
1576,197000,3
2392,348000,3
1742,168000,3
1851,187000,3
1500,173900,3
1718,337500,3
1230,121600,3
1050,136500,3
1442,185000,3
1077,91000,3
1208,206000,3
944,82000,3
691,86000,3
1574,232000,3
1680,136905,3
1504,181000,3
985,149900,3
1657,163500,3
1092,88000,3
1710,240000,3
1522,102000,3
1271,135000,3
1664,100000,3
1502,165000,3
1022,85000,3
1082,119200,3
1665,227000,3
1504,203000,3
1360,187500,3
1472,160000,3
1506,213490,3
1132,176000,3
1220,194000,3
1248,87000,3
1504,191000,3
2898,287000,3
882,112500,3
1264,167500,3
1646,293077,3
1376,105000,3
1218,118000,3
1928,160000,3
3082,197000,3
2520,310000,3
1654,230000,3
954,119750,3
845,84000,3
1620,315500,3
2263,287000,3
1344,97000,3
630,80000,3
1803,155000,3
1632,173000,3
1306,196000,3
2329,262280,3
2524,278000,3
1733,139600,3
2868,556581,3
990,145000,3
1771,115000,3
930,84900,3
1302,176485,3
1316,200141,3
1977,165000,3
1526,144500,3
1989,255000,3
1523,180000,3
1364,185850,3
1850,248000,3
2184,335000,3
1991,220000,3
1338,213500,3
894,81000,3
2337,90000,3
1103,110500,3
1154,154000,3
2260,328000,3
1571,178000,3
1611,167900,3
2521,151400,3
893,135000,3
1048,135000,3
1556,154000,3
1456,91500,3
1426,159500,3
1240,194000,3
1740,219500,3
1466,170000,3
1096,138800,3
848,155900,3
990,126000,3
1258,145000,3
1040,133000,3
1459,192000,3
1251,160000,3
1498,187500,3
996,147000,3
1092,83500,3
1953,252000,3
1709,137500,3
1247,197000,3
1040,92900,3
1252,160000,3
1694,136500,3
1200,146000,3
936,129000,3
1314,176432,3
1355,127000,3
1088,170000,3
1324,128000,3
1601,157000,3
438,60000,3
950,119500,3
1134,135000,3
1194,159500,3
1302,106000,3
2622,325000,3
1442,179900,3
2021,274725,3
1690,181000,3
1836,280000,3
1658,188000,3
1964,205000,3
816,129900,3
1008,134500,3
833,117000,3
1734,318000,3
1419,184100,3
894,130000,3
1601,140000,3
1040,133700,3
1012,118400,3
1552,212900,3
960,112000,3
698,118000,3
1482,163900,3
1005,115000,3
1555,174000,3
1530,259000,3
1959,215000,3
936,140000,3
1981,135000,3
974,93500,3
2210,117500,3
2020,239500,3
1600,169000,3
986,102000,3
1252,119000,3
1020,94000,3
1567,196000,3
1167,144000,3
952,139000,3
1868,197500,3
2828,424870,3
1006,80000,3
924,80000,3
1576,149000,3
1298,180000,3
1564,174500,3
1111,116900,3
1482,143000,3
932,124000,3
1466,149900,3
1811,230000,3
816,120500,3
1820,201800,3
1437,218000,3
1265,179900,3
1314,230000,3
1580,235128,3
1876,185000,3
1456,146000,3
1640,224000,3
894,129000,3
1258,108959,3
1432,194000,3
1502,233170,3
1694,245350,3
1671,173000,3
2108,235000,3
3627,625000,3
1118,171000,3
1261,163000,3
1250,171900,3
3086,200500,3
2345,239000,3
2872,285000,3
923,119500,3
1224,115000,3
1343,154900,3
1124,93000,3
2514,250000,3
1652,392500,3
4476,745000,3
1130,120000,3
1572,186700,3
1221,104900,3
1699,95000,3
1624,262000,3
1660,195000,3
1804,189000,3
1622,168000,3
1441,174000,3
1472,125000,3
1224,165000,3
1352,158000,3
1456,176000,3
1863,219210,3
1690,144000,3
1212,178000,3
1382,148000,3
864,116050,3
1779,197900,3
1348,117000,3
1630,213000,3
1074,153500,3
2196,271900,3
1056,107000,3
1700,200000,3
1283,140000,3
1660,290000,3
1845,189000,3
1752,164000,3
672,113000,3
960,145000,3
999,134500,3
894,125000,3
1902,112000,3
1314,229456,3
912,80500,3
1218,91500,3
912,115000,3
1211,134000,3
1846,143000,3
2136,137900,3
1490,184000,3
1138,145000,3
1933,214000,3
912,147000,3
1702,367294,3
1507,127000,3
2620,190000,3
1190,132500,3
1224,101800,3
1188,142000,3
1964,130000,3
1784,138887,3
1626,175500,3
1948,195000,3
1141,142500,3
1484,265900,3
1768,224900,3
1689,248328,3
1173,170000,3
2076,465000,3
1517,230000,3
1868,178000,3
1553,186500,3
1034,169900,3
2058,129500,3
988,119000,3
2110,244000,3
1405,171750,3
874,130000,3
2167,294000,3
1656,165400,3
1367,127500,3
1987,301500,3
864,99900,3
1166,190000,3
1054,151000,3
1675,181000,3
1050,128900,3
1788,161500,3
1824,180500,3
1337,181000,3
1452,183900,3
1889,122000,3
2018,378500,3
3447,381000,3
1524,144000,3
1524,260000,3
1489,185750,3
935,137000,3
1357,177000,3
1250,139000,3
1920,137000,3
1395,162000,3
1724,197900,3
2031,237000,3
1128,68400,3
1573,227000,3
1339,180000,3
1040,150500,3
1824,139000,3
2447,169000,3
1412,132500,3
1328,143000,3
1582,190000,3
1659,278000,3
1970,281000,3
1152,180500,3
1302,119500,3
2372,107500,3
1664,162900,3
864,115000,3
1052,138500,3
1128,155000,3
1072,140000,3
5642,160000,3
1246,154000,3
1983,225000,3
1494,177500,3
2526,290000,3
1616,232000,3
1708,130000,3
1652,325000,2
1368,202500,2
990,138000,2
1122,147000,2
1294,179200,2
1902,335000,2
1274,203000,2
2810,302000,2
2599,333168,2
948,119000,2
2112,206900,2
1630,295493,2
1352,208900,2
1787,275000,2
948,111000,2
1478,156500,2
720,72500,2
1923,190000,2
708,82500,2
1795,147000,2
796,55000,2
774,79000,2
816,130500,2
2792,256000,2
1632,176500,2
1588,227000,2
954,132500,2
816,100000,2
1360,125500,2
1365,125000,2
1334,167900,2
1656,135000,2
693,52500,2
1861,200000,2
864,128500,2
872,123000,2
1114,155000,2
2169,228500,2
1913,177000,2
1456,155835,2
960,108500,2
2156,262500,2
1776,283463,2
1494,215000,2
2358,122000,2
2634,200000,2
1716,171000,2
1176,134900,2
3238,410000,2
1865,235000,2
1920,170000,2
892,110000,2
1078,149900,2
1573,177500,2
1980,315000,2
2601,189000,2
1530,260000,2
1738,104900,2
1412,156932,2
1200,144152,2
1674,216000,2
1790,193000,2
1475,127000,2
848,144000,2
1668,232000,2
1374,105000,2
1661,165500,2
2097,274300,2
2633,466500,2
1958,250000,2
1571,239000,2
790,91000,2
1604,117000,2
987,83000,2
1394,167500,2
864,58500,2
2117,237500,2
1762,157000,2
1416,112000,2
1258,105000,2
1154,125500,2
2784,250000,2
2526,136000,2
1746,377500,2
1218,131000,2
1525,235000,2
1584,124000,2
900,123000,2
1912,163000,2
1500,246578,2
2482,281213,2
1687,160000,2
1513,137500,2
1904,138000,2
1608,137450,2
1158,120000,2
1593,193000,2
1294,193879,2
1464,282922,2
1214,105000,2
1646,275000,2
768,133000,2
833,112000,2
1363,125500,2
2093,215000,2
1840,230000,2
1668,140000,2
1040,90000,2
1844,257000,2
1848,207000,2
1569,175900,2
2290,122500,2
2450,340000,2
1144,124000,2
1844,223000,2
1416,179900,2
1069,127500,2
848,136500,2
2201,274970,2
1344,144000,2
1252,142000,2
2127,271000,2
1558,140000,2
804,119000,2
1440,182900,2
1838,192140,2
958,143750,2
968,64500,2
1792,186500,2
1126,160000,2
1537,174000,2
864,120500,2
1932,394617,2
1236,149700,2
1725,197000,2
2555,191000,2
848,149300,2
2007,310000,2
952,121000,2
1422,179600,2
913,129000,2
1188,157900,2
2090,240000,2
1346,112000,2
630,92000,2
1792,136000,2
1578,287090,2
1072,145000,2
1140,84500,2
1221,185000,2
1647,175000,2
2073,210000,2
2340,266500,2
1078,142125,2
1256,147500,2
